id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude
2586,Social,Medical Care,0.9,"[{'topic': 'Social', 'subtopic': 'Household'}]",Duration of providing care to a household member is directly about caregiving (medical care) and its relation to household responsibilities.,Social,Household,0.8,"[{'topic': 'Social', 'subtopic': 'Medical Care'}]","Question asks about the duration of caregiving to a household member, which relates to household caregiving activities."
2587,Social,Medical Care,0.9,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}]",Asking who else the respondent provided care to addresses additional caregiving recipients (medical care) and elicits the relationship of those recipients.,Social,Household,0.8,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question asks about other people receiving care, relating to household composition and caregiving relationships."
2588,Social,Medical Care,0.9,"[{'topic': 'Social', 'subtopic': 'Household'}]","This asks the duration of care provided to another person, which is a caregiving/medical care measure linked to household caregiving roles.",Social,Household,0.8,"[{'topic': 'Social', 'subtopic': 'Medical Care'}]","Question asks about duration of care provided to another individual, continuing the caregiving inquiry."
2589,Demographic,Age,0.99,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}]","The question explicitly asks for the age of a person on a reference date, making Age the clear primary demographic concept; it relates to the identified person (relationship).",Demographic,Age,0.9,"[{'topic': 'Social', 'subtopic': 'Household'}, {'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question directly asks for age of a person identified in previous caregiving questions, which is a demographic age question."
2600,Economic,Unemployment,0.9,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks about activities undertaken to find work in the past 4 weeks, which is a core unemployment/job-search measure used to classify labor force status.",Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question directly asks about job search activities over a 4-week period, which is a core employment status indicator."
2601,Economic,Unemployment,0.9,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}]","Follow-up on how the respondent searched for work, directly describing job-search methods tied to unemployment/labor force classification.",Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question seeks details on job search methods, which relates to labor force participation and employment status."
2602,Economic,Unemployment,0.9,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}]","Requests additional detail about job search activities, which pertains to unemployment/job-search behavior within the labor force.",Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question asks for elaboration on job search activities, directly measuring employment status and labor force engagement."
2603,Economic,Labor Force,0.9,"[{'topic': 'Economic', 'subtopic': 'Unemployment'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks about availability to start work if offered (last week), a question used to determine labor force participation and unemployment status.",Economic,Employment Status,0.92,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Economic', 'subtopic': 'Unemployment'}]","Question assesses job availability and readiness to work, which are key indicators of unemployment and labor force status."
2604,Economic,Employer,0.9,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Occupation'}]","Asks whether the respondent still works for a previously reported employer, which concerns employer affiliation and current employment status.",Economic,Employer,0.93,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Tenure'}]","Question asks about current employment with a specific employer and job continuity, measuring employer information and employment tenure."
2605,Economic,Occupation,0.85,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Inquires about changes in usual job activities and duties, which relates directly to the respondent's occupation and job description.",Economic,Occupation,0.9,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question asks about changes in job duties and activities, which relates to occupation classification and employment status."
2606,Economic,Occupation,0.9,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks whether a previously recorded occupation and usual activities accurately describe the current job, directly addressing occupation classification.",Economic,Occupation,0.93,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question verifies current occupation and job activities against previous reporting, directly measuring occupation information."
2607,Economic,Class of Worker,0.95,"[{'topic': 'Economic', 'subtopic': 'Employer'}, {'topic': 'Economic', 'subtopic': 'Self-employed'}]","Asks whether the respondent is employed by government/private/nonprofit or is self-employed, and about incorporation/paying status, which defines class of worker and employer type.",Economic,Class of Worker,0.94,"[{'topic': 'Economic', 'subtopic': 'Self-employed'}, {'topic': 'Economic', 'subtopic': 'Employer'}]","Question asks about employment type (government, private, non-profit, self-employed), which is the definition of class of worker."
2608,Economic,Employer,0.95,"[{'topic': 'Economic', 'subtopic': 'Business'}]","Requests the name of the company or nonprofit the respondent works for, which is an employer/business identification question.",Economic,Employer,0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question directly asks for the name of the employer, which is employer identification information."
2609,Government,Public Employment,0.9,"[{'topic': 'Economic', 'subtopic': 'Employer'}]","Asks for the name of the government agency the respondent works for, which pertains to public employment (government employer identification).",Economic,Employer,0.95,"[{'topic': 'Government', 'subtopic': 'Public Employment'}]","Question asks for the government agency name where respondent works, identifying the employer in the public sector."
2630,Housing,Structure,0.9,"[{'topic': 'Housing', 'subtopic': 'Housing'}]","Asks for specification of a type of housing unit, which relates to the physical type/structure of housing.",Housing,Structure,0.92,"[{'topic': 'Housing', 'subtopic': 'Housing'}]","Question asks respondent to specify the type of housing unit, which directly relates to housing structure classification."
2631,Housing,Structure,0.9,"[{'topic': 'Housing', 'subtopic': 'Vacancy/Vacancies'}]","Asks for the number of housing units in a structure (occupied and vacant), which concerns the building structure and unit vacancy counts.",Housing,Occupancy,0.95,"[{'topic': 'Housing', 'subtopic': 'Vacancy/Vacancies'}, {'topic': 'Housing', 'subtopic': 'Structure'}]","Question asks about the count of occupied and vacant housing units in a structure, directly measuring occupancy and vacancy status."
2632,Housing,Structure,0.95,"[{'topic': 'Housing', 'subtopic': 'Occupancy'}]","Requests the descriptive category of the building, which is a classification of the housing structure (and may relate to occupancy type).",Housing,Structure,0.93,"[{'topic': 'Housing', 'subtopic': 'Housing'}]","Question asks for classification of the building type, which is a structural characteristic of the housing unit."
2633,Social,Household,0.85,"[{'topic': 'Government', 'subtopic': 'Research and Development'}]","Asks about the source of information for household characteristics, which is metadata about household data collection.",Housing,Housing,0.75,"[{'topic': 'Social', 'subtopic': 'Household'}]","Question asks about the source of household characteristic information, which is a methodological question about housing and household data collection."
2634,Housing,Occupancy,0.75,"[{'topic': 'Social', 'subtopic': 'Household'}]","Asks whether the unit was classified by observation only, which pertains to occupancy classification/data collection for the housing unit.",Housing,Structure,0.78,"[{'topic': 'Housing', 'subtopic': 'Housing'}]","Question asks whether unit classification was based on observation only, relating to how housing structure information was determined."
2635,Social,Household,0.9,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}]","Asks whether the listed persons are still living or staying at the household, which concerns household membership.",Demographic,Household,0.88,"[{'topic': 'Social', 'subtopic': 'Household'}]","Question verifies household roster by confirming all listed persons are still living in the residence, which is a core household composition question."
