Question,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),Identity Theft Supplement (ITS),Supplemental Victimization Survey (SVS),National Survey of Children’s Health (NSCH),"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)","National Survey of Children's Health Topical Questionaire (Chilren, 6-11)","National Survey of Children's Health Topical Questionaire (Children, 12-17)",National Sample Survey of Registered Nurses (NSSRN),National Teacher and Principal Survey (NTPS) School Questionnaire,National Teacher and Principal Survey (NTPS) Private School Questionnaire,National Teacher and Principal Survey (NTPS) Principal Questionnaire,National Teacher and Principal Survey (NTPS) Private School Principal Questionnaire,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,Teacher Follow-up Survey (TFS) Former Teacher Survey,Teacher Follow-Up Survey (TFS) Current Teacher Survey,Principal Follow-up Survey (PFS),Principal Follow-Up Survey School Head/Principal Status Form,School Pulse Panel (SPP),Private School Survey (PSS),National Ambulatory Medical Care Survey (NAMCS),National Health Interview Survey (NHIS),"National Training, Education, and Workforce Survey (NTEWS)",National Survey of College Graduates (NSCG),American Time Use Survey (ATUS),Consumer Expenditure Survey (CE),American Community Survey (ACS),Survey of Income and Program Participation (SIPP),Household Trends and Outlook Pulse Survey (HTOPS),Current Population Survey (CPS),School Survey on Crime and Safety (SSOCS),Census Military Panel (CMP),American Housing Survey (AHS),Survey of Market Absorption (SOMA),Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,Food Acquisition and Purchase Survey (FoodAPS) Profile and Income Questionnaire,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,FoodAPS food Log,Survey of State Government Finances Finances of Insurance Trust Systems,Report of Building or Zoning Permits issued for new privately-ownd housing units,Survey of Residential Building or Zoning Permit Systems,Business and Professional Classifcation Report,Business Enterprise Research and Development Survey,Medical Expenditure Panel Survey Insurance Component
Have you ever been told by a doctor or other health professional that your blood cholesterol level was high?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
In what units will you report your height?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
How tall are you? Please provide your best estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
In what units will you report your weight?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
How much do you weigh? Please provide your best estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Do you weigh more or less than [XX]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Do you weigh more or less than [YY]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Are you currently on active duty?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Last week, were you enrolled in school as a full-time or part-time student, or were you not enrolled in school?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Last week, did you do any work for either pay or profit?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Did you retire before last week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Did you retire early because of a disability?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Do you own a business or a farm?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
What is the main reason you did not work last week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Are you currently looking for a job, either full or part time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Did you work for pay or profit for more than one employer last week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"How many hours do you normally work for pay, including paid sick time and paid leave time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
What shift or shifts do you work? Select all that apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
What shift or shifts do you work across all jobs? Select all that apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Across all jobs, do you commute to work at least once a week?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
How long does it usually take you to get from home to work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"For your primary job, how long does it usually take you to get from home to work?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"When at work, where do you usually get food (for example, for lunch or dinner)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Did you receive any wages, salary, commissions, bonuses, or tips last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
On what date did you receive your last paycheck?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
What is the easiest way for you to tell us about your earnings from work before taxes and other deductions?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"How much did you receive [Response from I1a] in wages, salary, commissions, bonuses, or tips from all jobs before taxes and other deductions?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"According to our calculations, you received [calculate TOTAL FROM I1b and I1a by month] altogether in earnings from work last month before taxes and other deductions. Is that correct?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
What is your best estimate of the correct total amount that you received in income from earnings from work before taxes and other deductions last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Did you receive any self-employment income last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
What is the easiest way for you to tell us about your earnings from self-employment income?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
How much did you receive [Response from I2a] in self-employment income before taxes and other deductions?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"According to our calculations, you received [calculate TOTAL FROM I2a and I2b by month] altogether in earnings from self-employment income last month before taxes and other deductions. Is that correct?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
What is your best estimate of the correct total amount that you received in self-employment income before taxes and other deductions last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Did you receive any Social Security or Railroad Retirement benefits last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Did you receive any Supplemental Security Income (SSI) payments last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Did you receive any Temporary Assistance for Needy Families (TANF) benefits last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Did you receive any other cash assistance from state or local welfare programs last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Did you receive any survivor or disability income last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Did you receive any payments from the Department of Veterans Affairs (VA) last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Did you receive a pension or any retirement income from a previous employer or union, or any regular withdrawals or distributions from retirement accounts such as 401(k), 403(b), IRA, Roth IRA, or other accounts designed specifically for retirement last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Did you receive any income from any other sources such as unemployment compensation, child support, alimony, or investments last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"We do not want to miss any income sources. Please consider earnings from work, unemployment compensation, welfare, child support, alimony, retirement, disability, investment, and any other sources of income. Did you receive income last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"On what date did you last receive benefits from SNAP? This program used to be called food stamps and, in your state, it is called [FILL IN STATE SNAP NAME]. It puts money on a SNAP EBT card that you can use to buy food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
How many dollars were put on your SNAP EBT card the last time you received SNAP benefits?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Is that the amount usually added each month, more than the usual amount, or less than the usual amount?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
What did you think of the length of the Household Survey?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Overall, how easy or difficult were the Household Survey questions to answer?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Which types of questions were difficult to answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
What made it difficult to answer the [insert answer from A2] question(s)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
We noticed that you started but were not able to finish the Household Survey. We would like to know your reason(s) for not completing the survey so that improvements can be made based on your feedback. Please provide your reason(s) for not being able to complete the survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
What did you think of the length of the daily Food Log?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Overall, how easy or difficult were the Food Log questions to answer?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
What made the [response option from B1AV2A] difficult to use?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
How easy or difficult was it to keep track of all the foods and drinks you got during the study so you could report them in the Food Log?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
What made it difficult to keep track of all the foods and drinks you got?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
I understood which items to include in the Food Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
I understood which items to exclude from the Food Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Which item(s) were you unsure about including in the Food Log?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Which item(s) were you unsure about excluding from the Food Log?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
How easy or difficult was it to do the following in the Food Log:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Keep track of the foods and drinks that children age 13 and under in your household got?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Record the foods and drinks that children age 13 and under in your household got?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
What made it difficult to keep track of the foods and drinks children got?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
What made it difficult to record the foods and drinks children got?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"You were asked to report the foods and drinks you got in the Food Log for seven days. If you only had to report the foods and drinks for four days in the study, would you have been more motivated to respond?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"As you might remember, the Food Log does not allow people to make any changes on days marked complete. During the [insert number of day fill] day period, did you ever want to go back to an earlier day to make changes to what you had already reported or to add food or drink items that did not get reported earlier?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Did you ever enter information in the Food Log on a later day that you wanted to add or change for an earlier day?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Sometimes people cannot report all the foods and drinks they get during this study because it is too much work or they do not have enough time, or for some other reason.  Which statement below best describes you? We appreciate your honesty and your answers will not change how much money you have earned from this study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
[If respondent started but did not complete the Food Log.] We noticed that you started but were not able to finish the Food Log. We would like to know your reason(s) for not completing the Food Log so that improvements can be made based on your feedback. Please provide your reason(s) for not being able to complete the Food Log.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
. [If more than one person in the household] How burdensome was completing all the tasks required in this study for your household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
[If there are any children who receive school meals] Did you report any school meals during the [insert number of day fill] day reporting period?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"During the study period, did your household rely on getting any free food or drinks from a food pantry, food bank, place of worship, or other place that helps people get free food?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Sometimes people involved in a study change their typical behaviors because of being in the study. We want to know if being involved in this study changed people’s behavior from what they normally do. In general, during the [insert number of day fill] day Food Log, did you (or other household members) change the way you got food because you were taking part in this study? We appreciate your honesty and your answers will not change how much money you have earned from this study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"At the beginning of the study, you were told that [fill:you/your household] would earn a gift card for participating. Did that information change how much [fill:you/your household] spent during the study compared to what you normally spend on food?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Did you/your household spend more money on food or less money on food compared to what you normally spend?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"During the [insert number of day fill] day reporting period, on how many days did (you/you or someone else in your household) prepare food for dinner or supper at home?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"During the [insert number of day fill] day reporting period, how many meals did all or most of your household sit down and eat together? This includes meals eaten away from home.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"During the [insert number of day fill] day reporting period, did any guests come to your home for meals or snacks?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
How many days during the [insert number of day fill] day reporting period did guests come to your home for a meal or snack?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"[Do you/Does your household] shop for food depending on when you receive income or food assistance benefits (WIC, [Insert State SNAP Name], etc.)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Did [you/your household] receive any benefits from [State SNAP name] during the [insert number of day fill] day Food Log period?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
[If Yes to D2] On what date did [you/your household] last receive benefits from [State SNAP name]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
If Yes to D2] How much did [you/your household] receive from [State SNAP name] during the [insert number of day fill] day Food Log period?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Did [you/your household] receive any benefits from WIC during the [insert number of day fill] day Food Log period?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
On what date did [you/your household] last receive WIC benefits?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Was the gift card you were offered for completing different parts of the study important when deciding whether or not to participate in this study?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
How was it important?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
You received $5 before the study began. Was that important when deciding whether or not to participate in this study?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"For completing the Household Survey, you received $(Insert amount). Would you say it was:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"For all of the days you reported foods and drinks in the Food Log for yourself [and [NAMES FILL]], you received $(insert amount). Would you say it was:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
You received $5 [if proxying: per person] for each day you reported your foods and drinks. Did this amount motivate you to report your foods and drinks each day?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
[If Yes to E7] You received $5 [if proxying: per person] for each day you reported your food and drinks. Do you think this was an appropriate amount?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
[If No to E8] What do you think would have been the appropriate amount to receive [if proxying: per person] each day?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"For each of the first three days, you were able to earn $5 [if proxying: per person] for completing the Food Log. If you completed the first three days of the Food Log, then, for each of the last four days, you were able to earn $10 [if proxying: per person] for completing the Food Log. Were these instructions clear when you were completing the study?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Please describe how you understood how much money could be earned for completing each additional day of the Food Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Do you think the total gift card amount for the Food Log was an appropriate amount?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Were you more likely to participate in the first three days given the increase in the gift card in the last four days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Did the $10 amount in the last four days motivate you to complete the study on those days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Did the fact that the study was coming to an end motivate you to log your food and drinks during the final days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Please list the reasons for wanting to complete the food and drink logging during the final days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Prior to the beginning of the National Household Food Study, you received a phone call that mentioned you would soon receive a letter inviting you to participate in this study. Do you remember receiving this phone call?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Did this phone call make it more likely, or not any more likely, to check your paper mail for a letter asking you to participate in this study?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Did this phone call make it more likely, or not any more likely, to participate in this study?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Did you receive a phone call reminding you to either start or finish the Household Survey?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Did you find this reminder phone call helpful?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Please provide the reason(s) this phone call was not helpful to you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Please provide the reason(s) this phone call was helpful to you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Do you think that the daily reminders were helpful in motivating you to complete the daily food log?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Did you find the timing of the reminders to report the foods and drinks helpful?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
What time of day would you have preferred to receive the reminder asking you to report the foods and drinks for the day?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Do you think that receiving a single daily reminder was the right number of reminders?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Would you have wanted to complete this study in another language?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
In what language would you want to complete the study?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Even though you accessed the Food Log in Spanish, food and drink items were displayed to you in English when using the text search option. How easy or difficult was it to search for food and drink items using the text search option in the Food Log?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Even though you accessed the Food Log in Spanish, locations were displayed to you in English when using the location search. How easy or difficult was it to use the location search in the Food Log?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Did you use any of the following resources to assist you in completing the study? [,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
[If yes to any of the options in H1] Were/was the [insert answer from H1] helpful or not helpful for learning about and completing the study?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
. [If at least one option selected in H1] Do you have any suggestions for improving the [insert all answer from H1] for future studies?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Is there anything else you would like to share regarding your experience participating in the National Household Food Study?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"FOODGET. Did you [, fill name, or fill name (etc.)] get any food and/or drinks on [insert day and Date]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
WHOGOTPNUM_. Who got the food and/or drinks?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
We’ll start by asking a few questions about how and where you/[Fill name] got the food and/or drinks at the first place you/NAME got food and/or drinks today. How did you/[Fill name] get the food and/or drinks?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
How did you/[Fill name] get the food and/or drinks?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
Where did you/[fill name] get the food and/or drinks?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
Please specify where you/[Fill name] got the food and/or drinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
Did you/[fill name] order the food and/or drinks in advance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
How did you/[fill name] order the food and/or drinks delivery?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
What is the name and location of the place where you/[fill name] got food and/or drinks? Please select from the previously reported commonly shopped stores or type the name and location below to search for a new location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
